ticket_number,has_ep_ticket,boarded_dep,boarded_ret,name,phone_number,email,class,coach,is_staff
77292,FALSE,FALSE,FALSE,Nyla Barr,852306880,NylaBarr@mail.com,2b,1,FALSE
6095,FALSE,FALSE,FALSE,Harley Serrano,334456829,HarleySerrano@mail.com,2h,1,FALSE
79377,FALSE,FALSE,FALSE,Allie Olsen,744890424,AllieOlsen@mail.com,1a,3,FALSE
62797,FALSE,FALSE,FALSE,Skyler Hurley,760494118,SkylerHurley@mail.com,1h,1,FALSE
94098,FALSE,FALSE,FALSE,Rylan Hinton,590082540,RylanHinton@mail.com,3d,3,FALSE
12608,FALSE,FALSE,FALSE,Frankie Navarro,202288516,FrankieNavarro@mail.com,3d,3,FALSE
93345,FALSE,FALSE,FALSE,Winter Valencia,972271959,WinterValencia@mail.com,1a,3,FALSE
87688,FALSE,FALSE,FALSE,Dax Roberts,663635526,DaxRoberts@mail.com,1a,3,FALSE
70264,FALSE,FALSE,FALSE,Paisley Magana,930163361,PaisleyMagana@mail.com,2e,2,FALSE
98127,FALSE,FALSE,FALSE,Rey Reed,409550361,ReyReed@mail.com,1b,3,FALSE
36315,FALSE,FALSE,FALSE,Valentina Weaver,896330158,ValentinaWeaver@mail.com,3b,3,FALSE
42763,FALSE,FALSE,FALSE,Tucker Avila,270192763,TuckerAvila@mail.com,1e,3,FALSE
60963,FALSE,FALSE,FALSE,Amiyah Garza,2343055,AmiyahGarza@mail.com,1e,2,FALSE
6259,FALSE,FALSE,FALSE,Judah Hail,662870692,JudahHail@mail.com,3d,1,FALSE
84864,FALSE,FALSE,FALSE,Lainey Miles,735167531,LaineyMiles@mail.com,1f,3,FALSE
98297,FALSE,FALSE,FALSE,Jared Conrad,230952320,JaredConrad@mail.com,1a,3,FALSE
97615,FALSE,FALSE,FALSE,Bexley Bautista,612939651,BexleyBautista@mail.com,3a,3,TRUE
49297,FALSE,FALSE,FALSE,Raul Hardin,23618362,RaulHardin@mail.com,2e,2,FALSE
46712,FALSE,FALSE,FALSE,Vada Jordan,111008483,VadaJordan@mail.com,2d,3,FALSE
13178,FALSE,FALSE,FALSE,Sawyer Jarvis,30895928,SawyerJarvis@mail.com,1h,2,FALSE
3794,FALSE,FALSE,FALSE,Elisabeth Cunningham,662735453,ElisabethCunningham@mail.com,1a,3,FALSE
90339,FALSE,FALSE,FALSE,Alejandro Nunez,13153214,AlejandroNunez@mail.com,3a,3,FALSE
75113,FALSE,FALSE,FALSE,Mya Delacruz,500859399,MyaDelacruz@mail.com,2h,1,FALSE
42792,FALSE,FALSE,FALSE,Memphis Hernandez,959148755,MemphisHernandez@mail.com,3b,2,FALSE
70777,FALSE,FALSE,FALSE,Camila Rich,807624979,CamilaRich@mail.com,3f,2,FALSE
4754,FALSE,FALSE,FALSE,Miller Holland,853048320,MillerHolland@mail.com,1b,3,FALSE
93513,FALSE,FALSE,FALSE,Mariah Parker,56410318,MariahParker@mail.com,2i,1,FALSE
18169,FALSE,FALSE,FALSE,Caleb Heath,11761649,CalebHeath@mail.com,2d,2,FALSE
85507,FALSE,FALSE,FALSE,Amani Harding,917399748,AmaniHarding@mail.com,1b,1,FALSE
94360,FALSE,FALSE,FALSE,Brodie Walters,727953750,BrodieWalters@mail.com,1g,1,FALSE
28240,FALSE,FALSE,FALSE,Samara Cole,911540800,SamaraCole@mail.com,1c,2,FALSE
74320,FALSE,FALSE,FALSE,Nathaniel Blackburn,528046691,NathanielBlackburn@mail.com,2c,1,FALSE
71637,FALSE,FALSE,FALSE,Frida Velazquez,141914410,FridaVelazquez@mail.com,2f,1,FALSE
58211,FALSE,FALSE,FALSE,Drew Arroyo,944495734,DrewArroyo@mail.com,2a,3,FALSE
18129,FALSE,FALSE,FALSE,Kyra Lewis,842640295,KyraLewis@mail.com,1c,1,FALSE
94575,FALSE,FALSE,FALSE,Wyatt Valenzuela,430274716,WyattValenzuela@mail.com,1g,3,FALSE
45071,FALSE,FALSE,FALSE,Henley Carey,12284171,HenleyCarey@mail.com,2g,2,FALSE
49015,FALSE,FALSE,FALSE,Watson McIntosh,677844848,WatsonMcIntosh@mail.com,2h,2,FALSE
2547,FALSE,FALSE,FALSE,Gwen Perry,949208462,GwenPerry@mail.com,1h,1,FALSE
398,FALSE,FALSE,FALSE,Waylon Faulkner,2745814,WaylonFaulkner@mail.com,1f,1,FALSE
85275,FALSE,FALSE,FALSE,Ansley Ibarra,483820489,AnsleyIbarra@mail.com,1b,2,FALSE
99130,FALSE,FALSE,FALSE,Asa Thornton,431368404,AsaThornton@mail.com,3e,1,FALSE
4541,FALSE,FALSE,FALSE,Haisley Medina,438114772,HaisleyMedina@mail.com,1d,1,TRUE
91182,FALSE,FALSE,FALSE,George Burch,206148706,GeorgeBurch@mail.com,2g,1,FALSE
38266,FALSE,FALSE,FALSE,Freyja McGuire,107527367,FreyjaMcGuire@mail.com,2a,1,TRUE
489,FALSE,FALSE,FALSE,Casey Terry,879678605,CaseyTerry@mail.com,1a,2,FALSE
62473,FALSE,FALSE,FALSE,Wren Stark,10422267,WrenStark@mail.com,1d,3,FALSE
27245,FALSE,FALSE,FALSE,Kristopher Roberson,208292518,KristopherRoberson@mail.com,1g,1,FALSE
28546,FALSE,FALSE,FALSE,Sasha Morse,129159508,SashaMorse@mail.com,3b,2,FALSE
52369,FALSE,FALSE,FALSE,Bode Baker,301922567,BodeBaker@mail.com,3a,1,FALSE
46130,FALSE,FALSE,FALSE,Isla Kennedy,636973178,IslaKennedy@mail.com,1g,1,FALSE
39219,FALSE,FALSE,FALSE,Maxwell Keith,404284035,MaxwellKeith@mail.com,2e,3,FALSE
81368,FALSE,FALSE,FALSE,Elyse Meyers,520102097,ElyseMeyers@mail.com,1d,3,FALSE
21704,FALSE,FALSE,FALSE,Julien Briggs,89207503,JulienBriggs@mail.com,2a,3,FALSE
41585,FALSE,FALSE,FALSE,Alia Parker,152760311,AliaParker@mail.com,1g,1,FALSE
4411,FALSE,FALSE,FALSE,Caleb Chang,46528318,CalebChang@mail.com,2h,3,FALSE
11890,FALSE,FALSE,FALSE,Ophelia Gaines,810717413,OpheliaGaines@mail.com,1d,3,FALSE
35325,FALSE,FALSE,FALSE,Talon Carr,917584657,TalonCarr@mail.com,2d,3,FALSE
51326,FALSE,FALSE,FALSE,Rowan Nicholson,980750708,RowanNicholson@mail.com,2f,1,FALSE
26762,FALSE,FALSE,FALSE,Rodrigo Flowers,616772642,RodrigoFlowers@mail.com,1e,1,FALSE
79405,FALSE,FALSE,FALSE,Ariya Lowe,50162171,AriyaLowe@mail.com,3g,1,FALSE
98822,FALSE,FALSE,FALSE,Julius Pacheco,713104699,JuliusPacheco@mail.com,1d,3,FALSE
35228,FALSE,FALSE,FALSE,Paris Nixon,379126245,ParisNixon@mail.com,1f,3,FALSE
